congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
117,Senate,20351,54,0.0,TN,200,,,"BLACKBURN, Marsha",B001243,1952.0,,0.628,0.151,-106.55513,0.8825700000000001,853.0,41.0,,0.667,0.15,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,92.40331125827814,949.0
117,Senate,42100,54,0.0,TN,200,,,"HAGERTY, William Francis (Bill)",H000601,1959.0,,0.677,-0.096,-135.90591,0.85675,879.0,54.0,,0.711,-0.209,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,90.9134657836644,949.0
117,Senate,40305,49,0.0,TX,200,,,"CORNYN, John",C001056,1952.0,,0.47100000000000003,-0.079,-190.29887,0.7992,849.0,88.0,,0.451,-0.11900000000000001,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,84.68311258278142,949.0
117,Senate,41304,49,0.0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970.0,,0.79,-0.195,-75.3505,0.91507,849.0,34.0,,0.7829999999999999,-0.07200000000000001,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,93.63697571743933,949.0
117,Senate,41110,67,0.0,UT,200,,,"LEE, Mike",L000577,1971.0,,0.8909999999999999,-0.45399999999999996,-137.62589,0.8579100000000001,898.0,66.0,,0.866,-0.5,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,91.53443708609277,949.0
117,Senate,41902,67,0.0,UT,200,,,"ROMNEY, Willard Mitt (Mitt)",R000615,1947.0,,0.28800000000000003,0.309,-218.36709,0.77576,860.0,94.0,,0.287,0.22899999999999998,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,82.83730684326727,949.0
117,Senate,14307,6,0.0,VT,100,,,"LEAHY, Patrick Joseph",L000174,1940.0,,-0.36,-0.121,-8.63674,0.98985,847.0,3.0,,-0.40299999999999997,-0.16,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,99.17770419426043,949.0
117,Senate,29147,6,0.0,VT,328,,,"SANDERS, Bernard",S000033,1941.0,,-0.542,-0.40399999999999997,-101.7301,0.8831899999999999,819.0,34.0,,-0.925,-0.35700000000000004,Independent,2,-0.35200000000000004,-0.30200000000000005,-0.35200000000000004,-0.30200000000000005,96.08938053097343,949.0
117,Senate,40909,40,0.0,VA,100,,,"WARNER, Mark",W000805,1954.0,,-0.20600000000000002,-0.053,-13.30998,0.98514,889.0,2.0,,-0.275,-0.159,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.72726269315667,949.0
117,Senate,41305,40,0.0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958.0,,-0.245,-0.066,-17.25904,0.98045,874.0,5.0,,-0.27399999999999997,-0.051,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.7137969094923,949.0
117,Senate,39310,73,0.0,WA,100,,,"CANTWELL, Maria E.",C000127,1958.0,,-0.305,-0.40700000000000003,-10.526810000000001,0.98835,898.0,3.0,,-0.381,-0.132,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,99.03962472406184,949.0
117,Senate,49308,73,0.0,WA,100,,,"MURRAY, Patty",M001111,1950.0,,-0.35200000000000004,-0.303,-9.00222,0.9898100000000001,879.0,2.0,,-0.38799999999999996,-0.152,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,99.16501103752752,949.0
117,Senate,20146,56,0.0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953.0,,0.278,0.132,-173.48256,0.82052,877.0,69.0,,0.326,0.113,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,84.69161147902877,949.0
117,Senate,40915,56,0.0,WV,100,,,"MANCHIN, Joe, III",M001183,1947.0,,-0.057,0.39899999999999997,-84.34456999999999,0.90679,862.0,27.0,,-0.078,0.381,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,93.0853200883002,949.0
117,Senate,29940,25,0.0,WI,100,,,"BALDWIN, Tammy",B001230,1962.0,,-0.49200000000000005,-0.133,-22.30344,0.9754200000000001,896.0,10.0,,-0.467,-0.027000000000000003,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.59922737306843,949.0
117,Senate,41111,25,0.0,WI,200,,,"JOHNSON, Ron",J000293,1955.0,,0.636,-0.14,-136.78788,0.8518399999999999,853.0,60.0,,0.617,0.035,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,89.66357615894044,949.0
