congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
50,House,8119,52,3.0,MD,100,0.0,1.0,"RUSK, Harry Welles",R000516,1852.0,1926.0,-0.24100000000000002,-0.9670000000000001,-20.59297,0.728,65.0,11.0,,-0.228,-0.551,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,67.53985239852399,320.0
50,House,8415,52,2.0,MD,100,0.0,1.0,"SHAW, Frank Thomas",S000304,1841.0,1923.0,-0.32899999999999996,-0.285,-57.159130000000005,0.6709999999999999,143.0,26.0,,-0.376,-0.616,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,73.93786764705881,320.0
50,House,102,3,8.0,MA,200,0.0,1.0,"ALLEN, Charles Herbert",A000116,1848.0,1934.0,0.505,-0.6709999999999999,-28.61358,0.852,179.0,12.0,,0.583,-0.809,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,87.78259259259256,320.0
50,House,1289,3,9.0,MA,100,0.0,1.0,"BURNETT, Edward",B001119,1849.0,1925.0,-0.201,-0.546,-36.48314,0.6759999999999999,93.0,21.0,,-0.2,-0.521,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,67.35588235294121,320.0
50,House,1910,3,7.0,MA,200,0.0,1.0,"COGSWELL, William",C000595,1838.0,1895.0,0.38299999999999995,-0.14400000000000002,-33.122170000000004,0.835,184.0,17.0,,0.337,-0.58,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,88.12044609665435,320.0
50,House,1948,3,4.0,MA,100,0.0,1.0,"COLLINS, Patrick Andrew",C000641,1844.0,1905.0,-0.185,-0.653,-17.76184,0.685,47.0,7.0,,-0.223,-0.975,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,65.56838235294117,320.0
50,House,2407,3,1.0,MA,200,0.0,1.0,"DAVIS, Robert Thompson",D000130,1823.0,1906.0,0.47200000000000003,-0.5670000000000001,-37.02905,0.825,193.0,14.0,,0.479,-0.478,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,87.62007434944242,320.0
50,House,4228,3,5.0,MA,200,0.0,1.0,"HAYDEN, Edward Daniel",H000386,1833.0,1908.0,0.377,-0.675,-29.99642,0.7929999999999999,129.0,14.0,,0.319,-0.395,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,87.14312267657996,320.0
50,House,5738,3,6.0,MA,200,0.0,1.0,"LODGE, Henry Cabot",L000393,1850.0,1924.0,0.568,-0.44799999999999995,-27.80041,0.8390000000000001,158.0,11.0,,0.46,-0.192,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,87.95000000000002,320.0
50,House,5762,3,2.0,MA,200,0.0,1.0,"LONG, John Davis",L000423,1838.0,1915.0,0.303,-0.556,-42.625240000000005,0.795,186.0,19.0,,0.252,-0.156,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,85.66814814814822,320.0
